,feature,include,reference
16,"Cardiometabolic risk factors associated with brain age and accelerate brain ageing. The structure and integrity of the ageing brain is interchangeably linked to physical health, and cardiometabolic risk factors (CMRs) are associated with dementia and other brain disorders. In this mixed cross-sectional and longitudinal study (interval meanÂ =Â 19.7â€‰months), including 790 healthy individuals (mean ageÂ =Â 46.7â€‰years, 53% women), we investigated CMRs and health indicators including anthropometric measures, lifestyle factors, and blood biomarkers in relation to brain structure using MRI-based morphometry and diffusion tensor imaging (DTI). We performed tissue specific brain age prediction using machine learning and performed Bayesian multilevel modeling to assess changes in each CMR over time, their respective association with brain age gap (BAG), and their interaction effects with time and age on the tissue-specific BAGs. The results showed credible associations between DTI-based BAG and blood levels of phosphate and mean cell volume (MCV), and between T1-based BAG and systolic blood pressure, smoking, pulse, and C-reactive protein (CRP), indicating older-appearing brains in people with higher cardiometabolic risk (smoking, higher blood pressure and pulse, low-grade inflammation). Longitudinal evidence supported interactions between both BAGs and waist-to-hip ratio (WHR), and between DTI-based BAG and systolic blood pressure and smoking, indicating accelerated ageing in people with higher cardiometabolic risk (smoking, higher blood pressure, and WHR). The results demonstrate that cardiometabolic risk factors are associated with brain ageing. While randomized controlled trials are needed to establish causality, our results indicate that public health initiatives and treatment strategies targeting modifiable cardiometabolic risk factors may also improve risk trajectories and delay brain ageing.",0,0
20,"Predicting cognitive impairment in outpatients with epilepsy using machine learning techniques. Many studies report predictions for cognitive function but there are few predictions in epileptic patients; therefore, we established a workflow to efficiently predict outcomes of both the Mini-Mental State Examination (MMSE) and Montreal Cognitive Assessment (MoCA) in outpatients with epilepsy. Data from 441 outpatients with epilepsy were included; of these, 433 patients met the 12 clinical characteristic criteria and were divided into training (nâ€‰=â€‰304) and experimental (nâ€‰=â€‰129) groups. After descriptive statistics were analyzed, cross-validation was used to select the optimal model. The random forest (RF) algorithm was combined with the redundancy analysis (RDA) algorithm; then, optimal feature selection and resampling were carried out after removing linear redundancy information. The features that contributed more to multiple outcomes were selected. Finally, the external traceability of the model was evaluated using the follow-up data. The RF algorithm was the best prediction model for both MMSE and MoCA outcomes. Finally, seven markers were screened by overlapping the top ten important features for MMSE ranked by RF modeling, those ranked for MoCA ranked by RF modeling, and those for both assessments ranked by RDA. The optimal combination of features were namely, sex, age, age of onset, seizure frequency, brain MRI abnormalities, epileptiform discharge in EEG and usage of drugs. which was the most efficient in predicting outcomes of MMSE, MoCA, and both assessments.",0,0
24,Machine learning for outcome predictions of patients with trauma during emergency department care. To develop and evaluate a machine learning model for predicting patient with trauma mortality within the US emergency departments.,0,0
31,"COVID-19 screening using breath-borne volatile organic compounds. Rapid screening of COVID-19 is key to controlling the pandemic. However, current nucleic acid amplification involves lengthy procedures in addition to discomfort of taking throat/nasal swabs. Here we describe potential breath-borne volatile organic compound (VOC) biomarkers together with machine learning that can be used for point-of-care screening of COVID-19. Using a commercial gas chromatograph-ion mobility spectrometer (GC-IMS), higher levels of propanol were detected in exhaled breath of COVID-19 patients (N=74) and non-COVID-19 respiratory infections (RI) (N=30) than those of non-COVID-19 controls (NC) / health care workers (HCW) (N=87), and backgrounds (N=87). In contrast, breath-borne acetone was found to be significantly lower for COVID-19 patients than other subjects. Twelve key endogenous VOC species using supervised machine learning models (Support Vector Machines (SVM), Gradient Boosting Machines (GBM) and Random Forests) were shown to exhibit strong capabilities in discriminating COVID-19 from (HCW+NC) and RI with a precision ranging from 91% to 100%. GBM and Random Forests models can also discriminate RI patients from healthy subjects with a precision of 100%. In addition, the developed models using breath-borne VOC could also detect a confirmed COVID-19 patient but with a false negative throat swab PCR test. It takes ten minutes to allow an entire breath test to finish, including analysis of the 12 key VOC species. The developed technology provides a novel concept for non-invasive rapid point-of-care-test (POCT) screening for COVID-19 in various scenarios. Keywords: COVID-19, Exhaled Breath, Biomarkers, Volatile Organic Compounds (VOCs), Propanol, Acetone, Machine Learning.",0,0
35,"AI-based radiation dose quantification for estimation of heart disease risk in breast cancer survivors after radiotherapy. To investigate whether dose planned to cardiac structures is associated with the risk of heart disease (HD) in breast cancer patients treated with radiotherapy, and whether this association is modified by presence of coronary artery calcification (CAC).",0,0
37,"Expert Performance in Visual Differentiation of Bacterial and Fungal Keratitis. This study quantifies the performance of an international cohort of cornea specialists in image-based differentiation of bacterial and fungal keratitis, identifying significant regional variation and establishing a reference standard for comparison against machine learning models.",1,1
40,The performance of artificial intelligence supported Thoracic CT to evaluate the radiologic improvement in patients with COVID-19 pneumonia: comparision pirfenidon vs. corticosteroid. We aimed to investigate the effect of short-term pirfenidone treatment on prolonged COVID-19 pneumonia.,0,0
46,Performance of a convolutional neural network algorithm for tooth detection and numbering on periapical radiographs. The present study aimed to evaluate the performance of a Faster Region-based Convolutional Neural Network (R-CNN) algorithm for tooth detection and numbering on periapical images.,0,0
49,"Deep learning-based classification and structure name standardization for organ at risk and target delineations in prostate cancer radiotherapy. Radiotherapy (RT) datasets can suffer from variations in annotation of organ at risk (OAR) and target structures. Annotation standards exist, but their description for prostate targets is limited. This restricts the use of such data for supervised machine learning purposes as it requires properly annotated data. The aim of this work was to develop a modality independent deep learning (DL) model for automatic classification and annotation of prostate RT DICOM structures. Delineated prostate organs at risk (OAR), support- and target structures (gross tumor volume [GTV]/clinical target volume [CTV]/planning target volume [PTV]), along with or without separate vesicles and/or lymph nodes, were extracted as binary masks from 1854 patients. An image modality independent 2D InceptionResNetV2 classification network was trained with varying amounts of training data using four image input channels. Channel 1-3 consisted of orthogonal 2D projections from each individual binary structure. The fourth channel contained a summation of the other available binary structure masks. Structure classification performance was assessed in independent CT (nÂ =Â 200 pat) and magnetic resonance imaging (MRI) (nÂ =Â 40 pat) test datasets and an external CT (nÂ =Â 99 pat) dataset from another clinic. A weighted classification accuracy of 99.4% was achieved during training. The unweighted classification accuracy and the weighted average F1 score among different structures in the CT test dataset were 98.8% and 98.4% and 98.6% and 98.5% for the MRI test dataset, respectively. The external CT dataset yielded the corresponding results 98.4% and 98.7% when analyzed for trained structures only, and results from the full dataset yielded 79.6% and 75.2%. Most misclassifications in the external CT dataset occurred due to multiple CTVs and PTVs being fused together, which was not included in the training data. Our proposed DL-based method for automated renaming and standardization of prostate radiotherapy annotations shows great potential. Clinic specific contouring standards however need to be represented in the training data for successful use. Source code is available at https://github.com/jamtheim/DicomRTStructRenamerPublic.",0,0
51,Hypernatremia subgroups among hospitalized patients by machine learning consensus clustering with different patient survival. The objective of this study was to characterize hypernatremia patients at hospital admission into clusters using an unsupervised machine learning approach and to evaluate the mortality risk among these distinct clusters.,0,0
