,precision,recall,f1-score,support
algo_neural_net,0.9943262411347518,0.9962103268593084,0.9952673923331756,2111.0
algo_support_vector,0.9985029940119761,0.9970104633781763,0.9977561705310397,669.0
algo_regression,0.9646302250803859,0.9646302250803859,0.9646302250803859,311.0
algo_decision_tree,0.9666666666666667,0.9926650366748166,0.9794933655006031,409.0
feat_xr,1.0,0.9903381642512077,0.9951456310679612,207.0
feat_ct,0.9836734693877551,0.9620758483033932,0.9727547931382443,501.0
feat_mri,0.9888888888888889,1.0,0.9944134078212291,534.0
feat_eeg,0.993127147766323,1.0,0.996551724137931,289.0
feat_ecg,0.9757575757575757,0.9877300613496932,0.9817073170731707,163.0
feat_emg,0.9866666666666667,1.0,0.9932885906040269,74.0
feat_us,0.9712643678160919,1.0,0.9854227405247813,169.0
feat_echo,1.0,0.9655172413793104,0.9824561403508771,29.0
feat_histo,0.9489795918367347,0.8913738019169329,0.9192751235584843,313.0
feat_oct,0.9869281045751634,0.993421052631579,0.9901639344262295,152.0
feat_mamm,1.0,1.0,1.0,94.0
feat_endoscop,1.0,0.979381443298969,0.9895833333333333,97.0
feat_gene,0.9421221864951769,0.9898648648648649,0.9654036243822076,296.0
feat_bio,0.964769647696477,0.9544235924932976,0.9595687331536388,373.0
feat_nlp,0.9852941176470589,1.0,0.9925925925925926,67.0
feat_ehr,0.9404761904761905,0.9777227722772277,0.9587378640776699,404.0
subspec_icu,0.9696969696969697,0.9846153846153847,0.9770992366412214,130.0
subspec_ed,0.9393939393939394,0.96875,0.9538461538461539,64.0
spec_paeds,1.0,0.9788732394366197,0.9893238434163701,284.0
spec_id,0.974025974025974,0.984251968503937,0.97911227154047,381.0
subspec_sepsis,0.9459459459459459,0.9722222222222222,0.9589041095890412,36.0
subspec_cov19,0.9941860465116279,1.0,0.9970845481049563,171.0
subspec_dermca,1.0,0.98,0.98989898989899,50.0
spec_onc,0.984363894811656,0.99568655643422,0.9899928520371694,1391.0
subspec_lungca,0.956989247311828,0.994413407821229,0.9753424657534246,179.0
subspec_brainca,0.9863013698630136,0.9795918367346939,0.9829351535836177,147.0
subspec_gica,0.8450704225352113,0.9836065573770492,0.9090909090909091,122.0
subspec_hepca,0.9240506329113924,1.0,0.9605263157894737,73.0
subspec_prosca,0.9553571428571429,0.9907407407407407,0.9727272727272727,108.0
subspec_gynonc,1.0,0.9726027397260274,0.9861111111111112,73.0
subspec_haemonc,0.9571428571428572,0.9710144927536232,0.9640287769784173,69.0
subspec_breastca,0.9848484848484849,0.9885931558935361,0.9867172675521821,263.0
subspec_urology,0.9959016393442623,0.9838056680161943,0.989816700610998,247.0
spec_psych,0.9807692307692307,0.9839228295819936,0.9823434991974318,311.0
spec_msk,0.9,0.9402985074626866,0.9197080291970803,134.0
spec_gi,0.95703125,0.9959349593495935,0.9760956175298804,246.0
spec_hep,0.9941176470588236,0.976878612716763,0.9854227405247814,173.0
spec_resp,0.9779005524861878,0.9925233644859813,0.9851576994434138,535.0
subspec_pneum,0.9186046511627907,0.9753086419753086,0.9461077844311376,81.0
spec_neuro,0.989769820971867,0.9906143344709898,0.9901918976545843,1172.0
subspec_epilep,1.0,1.0,1.0,115.0
subspec_cva,0.9603960396039604,0.8981481481481481,0.9282296650717703,108.0
subspec_alzh,0.9915611814345991,0.9915611814345991,0.9915611814345991,237.0
spec_cvs,0.968978102189781,0.9869888475836431,0.9779005524861879,538.0
subspec_ihd,0.9307692307692308,0.9236641221374046,0.9272030651340997,131.0
subspec_hf,0.8115942028985508,0.8615384615384616,0.835820895522388,65.0
subspec_arrhyt,0.9532710280373832,0.8869565217391304,0.9189189189189189,115.0
spec_dm,0.9897959183673469,0.9897959183673469,0.9897959183673469,196.0
subspec_retina,0.953125,0.9838709677419355,0.9682539682539683,62.0
spec_haem,0.9747899159663865,0.9586776859504132,0.9666666666666667,121.0
spec_obs,0.9565217391304348,0.9447852760736196,0.9506172839506172,163.0
spec_renal,0.9805825242718447,0.9901960784313726,0.9853658536585367,102.0
micro,0.977024625539477,0.9833280102203769,0.9801661838209544,15655.0
macro,0.9677665479325466,0.975764237932572,0.9714666414179065,15655.0
weighted,0.9773771015082426,0.9833280102203769,0.9801939783789526,15655.0
samples,0.9326461063588037,0.9384284765794422,0.932432361050386,15655.0
